Qin,RECOVERY,CODin,BOD5in,CIin,HARDin,SSin,NH3Nin,LASin,CHROMin,CODout,BOD5out,CIout,HARDout,SSout,NH3Nout,LASout,CHROMout,LEVEL,YEAR,COST
50,0.6375,450,90,21000,350,5000,20,2.25 ,40,45,9,840,0.875,0,5,0.23 ,0,1,7,1533000
50,1,450,90,21000,350,5000,20,2.25 ,40,450,90,21000,350,10,20,2.25 ,30,2,7,455000
50,0.85,450,90,21000,350,10,20,2.25 ,30,250,50,17000,35,1,10,1.25 ,10,2,7,522300
42.5,0.75,250,50,17000,35,1,10,1.25 ,10,45,9,840,0.875,0,5,0.23 ,0,2,7,555700
50,0.85,450,90,21000,350,5000,20,2.25 ,40,250,50,17000,35,1,10,1.25 ,30,2,7,977300
50,0.6375,450,90,21000,350,10,20,2.25 ,30,45,9,840,0.875,0,5,0.23 ,0,2,7,1078000
150,0.6375,400,80,18000,1000,5500,30,2.00 ,40,40,8,720,5,0,10,0.20 ,0,3,7,1469000
150,1,400,80,18000,1000,5500,30,2.00 ,40,400,80,18000,1000,5,30,2.00 ,30,3,7,346000
150,0.85,400,80,18000,1000,5,30,2.00 ,30,300,60,12000,50,1,20,1.50 ,10,3,7,552000
127.5,0.75,300,60,12000,50,1,20,1.50 ,10,40,8,720,5,0,10,0.20 ,0,3,7,571000
150,0.85,400,80,18000,1000,5500,30,2.00 ,40,300,60,12000,50,1,20,1.50 ,30,3,7,898000
150,0.6375,400,80,18000,1000,5,30,2.00 ,30,40,8,720,5,0,10,0.20 ,0,3,7,1123000
800,1,400,80,20000,100,5,20,2.00 ,10,40,8,1000,10,0,2,0.20 ,0,1,7,13620000
800,0.75,400,80,20000,100,5,20,2.00 ,10,40,8,1000,10,0,2,0.20 ,0,1,7,2800000
200,0.75,1600,320,80000,400,20,80,8.00 ,0,100,20,3000,10,0,5,0.50 ,0,1,7,9250000
50,1,6400,1280,320000,1600,80,320,32.00 ,0,400,80,5000,100,0,50,2.00 ,0,1,7,1570000
200,0.875,400,80,20000,100,5,20,2.00 ,10,100,20,3000,10,0,5,0.50 ,0,1,7,12050000
200,1,1600,320,80000,400,20,80,8.00 ,0,200,40,3500,20,0,10,1.00 ,0,1,7,10820000
2200,0.75,10,1.5,500,50,5,0,0.00 ,0,1,0.15,20,2,0,0,0.00 ,0,2,7,4272000
2200,0.99,10,1.5,500,50,5,0,0.00 ,0,10,1.5,500,50,1,0,0.00 ,0,2,7,321000
2200,0.99,10,1.5,500,50,1,0,0.00 ,0,2,0.3,500,50,0.5,0,0.00 ,0,2,7,381200
2200,0.75,2,0.3,500,50,0.5,0,0.00 ,0,1,0.15,20,2,0,0,0.00 ,0,2,7,3569800
2200,0.98,10,1.5,500,50,5,0,0.00 ,0,10,1.5,500,50,1,0,0.00 ,0,2,7,702200
2200,0.75,10,1.5,500,50,1,0,0.00 ,0,1,0.15,20,2,0,0,0.00 ,0,2,7,3951000
20,0.75,5,0.75,400,100,5,1,0.00 ,0,1,0.15,15,5,0,0,0.00 ,0,3,6,150000
20,0.99,5,0.75,400,100,5,1,0.00 ,0,5,0.75,400,100,1,1,0.00 ,0,3,6,7100
20,0.99,5,0.75,400,100,1,1,0.00 ,0,2,0.3,400,100,0.5,0,0.00 ,0,3,6,9300
20,0.75,2,0.3,400,100,0.5,0,0.00 ,0,1,0.15,15,5,0,0,0.00 ,0,3,6,133600
20,0.98,5,0.75,400,100,5,1,0.00 ,0,2,0.3,400,100,0.5,0,0.00 ,0,3,6,16400
20,0.75,5,0.75,400,100,1,1,0.00 ,0,1,0.15,15,5,0,0,0.00 ,0,3,6,142900
480,0.65,45,6.75,2500,800,10,0.5,0.00 ,0,5,0.75,100,1,0,0.1,0.00 ,0,2,6,734900
480,0.99,45,6.75,2500,800,10,0.5,0.00 ,0,45,6.75,2500,800,5,0.5,0.00 ,0,3,6,42000
528,0.9,45,6.75,2500,800,5,0.5,0.00 ,0,40,6,2500,800,0.5,0.5,0.00 ,0,3,6,230000
480,0.99,40,6,2500,800,0.5,0.5,0.00 ,0,20,3,2500,800,0.1,0.5,0.00 ,0,3,6,52000
480,0.99,20,3,2500,800,0.1,0.5,0.00 ,0,20,3,2500,10,0.1,0.5,0.00 ,0,3,6,65200
480,0.65,20,3,2500,10,0.1,0.5,0.00 ,0,5,0.75,100,1,0,0.1,0.00 ,0,2,6,345700
528,0.9,45,6.75,2500,800,10,0.5,0.00 ,0,45,6.75,2500,800,5,0.5,0.00 ,0,3,6,272000
528,0.9,45,6.75,2500,800,5,0.5,0.00 ,0,20,3,2500,800,0.1,0.5,0.00 ,0,3,6,282000
480,0.98,40,6,2500,800,0.5,0.5,0.00 ,0,20,3,2500,10,0.1,0.5,0.00 ,0,3,6,117200
528,0.9,20,3,2500,800,0.1,0.5,0.00 ,0,5,0.75,100,1,0,0.1,0.00 ,0,3,6,410900
528,0.9,45,6.75,2500,800,10,0.5,0.00 ,0,20,3,2500,800,0.1,0.5,0.00 ,0,3,6,324000
528,0.9,45,6.75,2500,800,5,0.5,0.00 ,0,20,3,2500,10,0.1,0.5,0.00 ,0,3,6,347200
480,0.65,40,6,2500,800,0.5,0.5,0.00 ,0,5,0.75,100,1,0,0.1,0.00 ,0,3,6,462900
528,0.9,45,6.75,2500,800,10,0.5,0.00 ,0,20,3,2500,10,0.1,0.5,0.00 ,0,3,6,389200
480,0.65,45,6.75,2500,800,5,0.5,0.00 ,0,5,0.75,100,1,0,0.1,0.00 ,0,3,6,692900
2400,0.75,50,7.5,3500,1000,100,3,0.50 ,0,5,0.75,100,10,0,1,0.05 ,0,3,6,3950000
2640,1,50,7.5,3500,1000,100,3,0.50 ,0,45,6.75,3500,200,15,3,0.45 ,0,3,6,120000
2640,0.99,45,6.75,3500,200,15,3,0.45 ,0,45,6.75,3500,200,2,3,0.45 ,0,3,6,382000
2640,0.99,45,6.75,3500,200,2,3,0.45 ,0,30,4.5,3500,200,1,1.5,0.30 ,0,3,6,452000
2640,0.9,30,4.5,3500,200,1,1.5,0.30 ,0,25,3.75,3500,200,0.1,1.5,0.25 ,0,3,6,1132000
2400,0.75,25,3.75,3500,200,0.1,1.5,0.25 ,0,5,0.75,100,10,0,1,0.05 ,0,3,6,1864000
2640,0.99,50,7.5,3500,1000,100,3,0.50 ,0,45,6.75,3500,200,2,3,0.45 ,0,3,6,502000
2640,0.98,45,6.75,3500,200,15,3,0.45 ,0,30,4.5,3500,200,1,1.5,0.30 ,0,3,6,834000
2640,0.9,45,6.75,3500,200,2,3,0.45 ,0,25,3.75,3500,200,0.1,1.5,0.25 ,0,3,6,1584000
2400,0.75,30,4.5,3500,200,1,1.5,0.30 ,0,5,0.75,100,10,0,1,0.05 ,0,3,6,2996000
2640,0.98,50,7.5,3500,1000,100,3,0.50 ,0,30,4.5,3500,200,1,1.5,0.30 ,0,3,6,954000
2640,0.9,45,6.75,3500,200,15,3,0.45 ,0,25,3.75,3500,200,0.1,1.5,0.25 ,0,3,6,1966000
2400,0.75,45,6.75,3500,200,2,3,0.45 ,0,5,0.75,100,10,0,1,0.05 ,0,3,6,3448000
2640,0.9,50,7.5,3500,1000,100,3,0.50 ,0,25,3.75,3500,200,0.1,1.5,0.25 ,0,3,6,2086000
2400,0.75,45,6.75,3500,200,15,3,0.45 ,0,5,0.75,100,10,0,1,0.05 ,0,3,6,3830000
3400,0.75,50,7.5,3200,100,2,1,0.00 ,0,5,0.75,120,5,0,0,0.00 ,0,1,6,4772000
3400,0.99,50,7.5,3200,100,2,1,0.00 ,0,50,7.5,3200,100,0.5,1,0.00 ,0,1,6,423000
3400,0.99,50,7.5,3200,100,0.5,1,0.00 ,0,40,6,3200,100,0.2,1,0.00 ,0,1,6,480000
3400,0.5,40,6,3200,100,0.2,1,0.00 ,0,5,0.75,80,4,0,0,0.00 ,0,1,6,2742000
1700,0.5,80,12,6400,200,0.4,2,0.00 ,0,8,1.2,150,6,0,0.1,0.00 ,0,1,6,1127000
3400,0.98,50,7.5,3200,100,2,1,0.00 ,0,40,6,3200,100,0.2,1,0.00 ,0,1,6,903000
3400,0.5,50,7.5,3200,100,0.5,1,0.00 ,0,5,0.75,80,4,0,0,0.00 ,0,1,6,3222000
3400,0.75,40,6,3200,100,0.2,1,0.00 ,0,5,0.75,120,5,0,0,0.00 ,0,1,6,3869000
3400,0.5,50,7.5,3200,100,2,1,0.00 ,0,5,0.75,80,4,0,0,0.00 ,0,1,6,3645000
3400,0.75,50,7.5,3200,100,0.5,1,0.00 ,0,5,0.75,120,5,0,0,0.00 ,0,1,6,4349000
30,1,140000,28000,20000,10,3000,500,0.00 ,0,50,10,100,1,0,1,0.00 ,0,1,3,11654867
33,1,140000,28000,20000,10,3000,500,0.00 ,0,140000,28000,20000,2,20,450,0.00 ,0,1,3,1370000
33,1,140000,28000,20000,2,20,450,0.00 ,0,200,40,2000,1,2,20,0.00 ,0,1,3,4800000
33,0.9,200,40,2000,1,2,20,0.00 ,0,180,36,2000,1,0.1,20,0.00 ,0,1,3,2420000
30,0.72,180,36,2000,1,0.1,20,0.00 ,0,50,10,100,1,0,1,0.00 ,0,1,3,3064867
30,1,140000,28000,20000,10,3000,500,0.00 ,0,200,40,2000,1,2,20,0.00 ,0,1,3,6170000
30,0.9,140000,28000,20000,2,20,450,0.00 ,0,180,36,2000,1,0.1,20,0.00 ,0,1,3,7220000
30,0.72,200,40,2000,1,2,20,0.00 ,0,50,10,100,1,0,1,0.00 ,0,1,3,5484867
33,0.9,140000,28000,20000,10,3000,500,0.00 ,0,180,36,2000,1,0.1,20,0.00 ,0,1,3,8590000
30,0.72,140000,28000,20000,2,20,450,0.00 ,0,50,10,100,1,0,1,0.00 ,0,1,3,10284867
1250,0.66,60,24,2000,450,20,10,0.50 ,0,10,4,50,30,0.1,4,0.08 ,0,1,5,2350000
1370,0.9,60,24,2000,450,20,10,0.50 ,0,50,20,2000,450,1,10,0.42 ,0,1,5,723000
1250,0.99,50,20,2000,450,1,10,0.42 ,0,50,20,2000,450,0.1,10,0.42 ,0,1,5,183000
1250,0.66,50,20,2000,450,0.1,10,0.42 ,0,10,4,50,30,0.1,4,0.08 ,0,1,5,1444000
1370,0.9,60,24,2000,450,20,10,0.50 ,0,50,20,2000,450,0.1,10,0.42 ,0,1,5,906000
1250,0.66,50,20,2000,450,1,10,0.42 ,0,10,4,50,30,0.1,4,0.08 ,0,1,5,1627000
2400,0.65,50,20,2000,350,1,5,0.42 ,0,5,2,50,30,0.1,1,0.04 ,0,1,6,3600000
72,1,30,12,3000,300,8000,10,0.25 ,0,30,12,3000,300,10,10,0.25 ,0,1,6,553000
1848,0.67,50,20,2000,350,1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,6,2620000
1848,0.99,50,20,2000,350,1,5,0.42 ,0,50,20,2000,350,0.1,5,0.42 ,0,1,6,420298
1848,0.67,50,20,2000,350,0.1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,6,2199702
1848,0.67,50,20,2000,350,1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,6,2486000
1848,0.99,50,20,2000,350,1,5,0.42 ,0,50,20,2000,350,0.1,5,0.42 ,0,1,6,420298
1848,0.67,50,20,2000,350,0.1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,6,2065702
1100,0.67,50,20,2500,350,0.1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,8,960000
3600,0.67,50,20,2500,350,0.1,5,0.42 ,0,5,2,50,30,0,1,0.04 ,0,1,4,4700000
3200,0.75,5,2,400,300,2,1,0.01 ,0,1,0.4,15,15,0,0.1,0.00 ,0,1,6,3520000
3200,0.99,5,2,400,300,2,1,0.01 ,0,5,2,400,300,0.1,1,0.01 ,0,1,6,423000
3200,0.99,5,2,400,300,0.1,1,0.01 ,0,2,0.8,400,300,0.1,0.5,0.00 ,0,1,6,520000
3200,0.75,2,0.8,400,300,0.1,0.5,0.00 ,0,1,0.4,15,15,0,0.1,0.00 ,0,1,6,2577000
3200,0.98,5,2,400,300,2,1,0.01 ,0,2,0.8,400,300,0.1,0.5,0.00 ,0,1,6,943000
3200,0.75,5,2,400,300,0.1,1,0.01 ,0,1,0.4,15,15,0,0.1,0.00 ,0,1,6,3097000
200,0.75,50,20,2000,100,15000,1,0.10 ,0,5,2,50,5,0.1,0.1,0.01 ,0,2,6,1260000
200,1,50,20,2000,30,15000,1,0.10 ,0,50,20,2000,30,5000,1,0.10 ,0,3,6,50000
200,1,50,20,2000,30,5000,1,0.10 ,0,50,20,2000,30,1,1,0.10 ,0,1,6,832900
200,1,50,20,2000,30,1,1,0.10 ,0,5,2,50,5,0.1,0.1,0.01 ,0,2,6,377100
200,1,50,20,2000,30,15000,1,0.10 ,0,50,20,2000,30,1,1,0.10 ,0,2,6,882900
200,0.75,50,20,2000,30,5000,1,0.10 ,0,5,2,50,5,0.1,0.1,0.01 ,0,2,6,1210000
200,0.75,50,20,2500,160,15000,1,0.10 ,0,5,2,60,10,0.1,0.1,0.01 ,0,2,6,1260000
200,1,50,20,2000,160,15000,1,0.10 ,0,50,20,2000,160,5000,1,0.10 ,0,3,6,50000
200,1,50,20,2000,160,5000,1,0.10 ,0,50,20,2000,160,1,1,0.10 ,0,1,6,832900
200,1,50,20,2000,160,1,1,0.10 ,0,5,2,50,10,0.1,0.1,0.01 ,0,2,6,377100
200,1,50,20,2000,160,15000,1,0.10 ,0,50,20,2000,160,1,1,0.10 ,0,2,6,882900
200,0.75,50,20,2000,160,5000,1,0.10 ,0,5,2,60,10,0.1,0.1,0.01 ,0,2,6,1210000
900,0.7,50,20,4000,180,10,1,0.10 ,0,50,20,120,45,0.1,0.2,0.10 ,0,2,6,1929000
990,0.9,50,20,4000,180,10,1,0.10 ,0,40,16,4000,180,1,1,0.08 ,0,3,6,652000
900,0.7,40,16,4000,180,1,1,0.08 ,0,50,20,120,45,0.1,0.2,0.10 ,0,2,6,1277000
7935,0.7,50,20,4500,750,10,2,0.10 ,0,5,2,150,5,0,0.5,0.01 ,0,1,6,9544000
7935,0.9,50,20,4500,750,10,2,0.10 ,0,50,20,4500,750,0.1,1,0.10 ,0,1,6,3390000
7235,0.99,50,20,4500,750,0.1,2,0.10 ,0,50,20,4500,10,0.1,1,0.10 ,0,1,6,2130000
7235,0.7,50,20,4500,10,0.1,1,0.10 ,0,5,2,150,5,0,0.5,0.01 ,0,1,6,4024000
7935,0.9,50,20,4500,750,10,2,0.10 ,0,50,20,4500,10,0.1,1,0.10 ,0,1,6,5520000
7235,0.7,50,20,4500,750,0.1,2,0.10 ,0,5,2,150,5,0,0.5,0.01 ,0,1,6,6154000
72,0.67,5,2,400,100,5,0.1,0.01 ,0,0,0,4,0.5,0,0,0.00 ,0,1,6,257100
72,0.99,5,2,400,100,5,0.1,0.01 ,0,5,2,400,100,1,0.1,0.01 ,0,3,6,30000
72,0.99,5,2,400,100,1,0.1,0.01 ,0,4,1.6,400,100,0.5,0,0.01 ,0,3,6,35000
81,0.67,4,1.6,400,100,0.5,0,0.01 ,0,1,0.4,15,8,0,0,0.00 ,0,1,6,105000
48,0.8,1,0.4,15,8,0,0,0.00 ,0,0,0,4,0.5,0,0,0.00 ,0,1,6,87100
72,0.98,5,2,400,100,5,0.1,0.01 ,0,4,1.6,400,100,0.5,0,0.01 ,0,1,6,65000
72,0.67,5,2,400,100,1,0.1,0.01 ,0,1,0.4,15,8,0,0,0.00 ,0,1,6,140000
81,0.67,4,1.6,400,100,0.5,0,0.01 ,0,0,0,4,0.5,0,0,0.00 ,0,1,6,192100
72,0.67,5,2,400,100,5,0.1,0.01 ,0,1,0.4,15,8,0,0,0.00 ,0,1,6,170000
72,0.67,5,2,400,100,1,0.1,0.01 ,0,0,0,4,0.5,0,0,0.00 ,0,1,6,227100
1800,0.67,40,16,2000,200,5,2,0.08 ,0,5,2,60,10,0,0.5,0.01 ,0,1,4,3350000
1800,0.99,40,16,2000,200,5,2,0.08 ,0,40,16,2000,200,1,2,0.08 ,0,2,4,324000
1800,0.99,40,16,2000,200,1,2,0.08 ,0,20,8,2000,200,0.5,1,0.04 ,0,2,4,355000
1980,0.9,20,8,2000,200,0.5,1,0.04 ,0,18,7.2,2000,200,0.1,1,0.04 ,0,1,4,1042000
1800,0.67,18,7.2,2000,200,0.1,1,0.04 ,0,5,2,60,10,0,0.5,0.01 ,0,1,4,1629000
1800,0.98,40,16,2000,200,5,2,0.08 ,0,20,8,2000,200,0.5,1,0.04 ,0,2,4,679000
1800,0.9,40,16,2000,200,1,2,0.08 ,0,18,7.2,2000,200,0.1,1,0.04 ,0,1,4,1397000
1800,0.67,20,8,2000,200,0.5,1,0.04 ,0,5,2,60,10,0,0.5,0.01 ,0,1,4,2671000
1800,0.9,40,16,2000,200,5,2,0.08 ,0,18,7.2,2000,200,0.1,1,0.04 ,0,1,4,1721000
1800,0.67,40,16,2000,200,1,2,0.08 ,0,5,2,60,10,0,0.5,0.01 ,0,1,4,3026000
5000,0.75,5,2,500,200,1000,1,0.01 ,0,1,0.4,25,10,0,0.1,0.00 ,0,3,6,6350000
5000,1,5,2,500,200,1000,1,0.01 ,0,4,1.6,500,200,10,1,0.01 ,0,3,6,230000
5000,0.99,4,1.6,500,200,10,1,0.01 ,0,4,1.6,500,200,3,0.6,0.01 ,0,2,6,420000
5250,0.95,4,1.6,500,200,3,0.6,0.01 ,0,3,1.2,500,200,0.1,0.6,0.01 ,0,3,6,2400000
5000,0.75,3,1.2,500,200,0.1,0.6,0.01 ,0,1,0.4,25,10,0,0.1,0.00 ,0,2,6,3300000
5000,0.99,5,2,500,200,1000,1,0.01 ,0,4,1.6,500,200,3,0.6,0.01 ,0,3,6,650000
5250,0.95,4,1.6,500,200,10,1,0.01 ,0,3,1.2,500,200,0.1,0.6,0.01 ,0,3,6,2820000
5000,0.75,4,1.6,500,200,3,0.6,0.01 ,0,1,0.4,25,10,0,0.1,0.00 ,0,3,6,5700000
5000,1,5,2,500,200,1000,1,0.01 ,0,3,1.2,500,200,0.1,0.6,0.01 ,0,3,6,3050000
5000,0.75,4,1.6,500,200,10,1,0.01 ,0,1,0.4,25,10,0,0.1,0.00 ,0,3,6,6120000
2000,0.75,10,4,1500,650,50,1,0.02 ,0,1,0.4,40,1,0,0.1,0.00 ,0,2,6,3250000
2000,0.99,10,4,1500,650,50,1,0.02 ,0,10,4,1500,650,5,1,0.02 ,0,1,6,239200
2200,0.9,10,4,1500,650,5,1,0.02 ,0,10,4,1500,650,0.1,1,0.02 ,0,3,6,620000
2000,0.99,10,4,1500,650,0.1,1,0.02 ,0,10,4,1500,10,0.1,1,0.02 ,0,3,6,575000
2000,0.75,10,4,1500,10,0.1,1,0.02 ,0,1,0.4,40,1,0,0.1,0.00 ,0,2,6,1815800
